employee_id,pay_period_start,pay_period_end,total_hours_worked,overtime_hours,gross_pay,net_pay,pay_date
8,2019-07-01,2019-07-15,68,15,3485,3174,2019-07-16
8,2018-07-19,2018-08-02,74,12,3338,3075,2018-08-03
8,2015-08-31,2015-09-14,67,7,2478,2193,2015-09-15
8,2020-08-18,2020-09-01,60,12,2533,2325,2020-09-02
8,2022-01-08,2022-01-22,73,10,2328,1853,2022-01-23
8,2023-07-28,2023-08-11,63,6,3213,2731,2023-08-12
9,2024-07-28,2024-08-11,64,19,2379,2276,2024-08-12
9,2014-08-23,2014-09-06,72,7,3479,3216,2014-09-07
9,2016-01-22,2016-02-05,79,9,2209,1970,2016-02-06
9,2016-01-29,2016-02-12,72,6,3437,3330,2016-02-13
9,2021-01-24,2021-02-07,80,7,3092,2592,2021-02-08
9,2022-06-09,2022-06-23,76,0,2850,2727,2022-06-24
9,2019-08-03,2019-08-17,73,19,3377,3237,2019-08-18
9,2015-10-18,2015-11-01,77,7,2788,2481,2015-11-02
9,2022-12-08,2022-12-22,68,1,3174,2838,2022-12-23
9,2017-04-16,2017-04-30,66,14,2395,2205,2017-05-01
9,2022-02-13,2022-02-27,79,15,3532,3205,2022-02-28
9,2020-11-17,2020-12-01,61,8,3130,2654,2020-12-02
9,2020-11-25,2020-12-09,80,13,2643,2507,2020-12-10
9,2017-12-30,2018-01-13,73,16,3804,3404,2018-01-14
9,2021-01-29,2021-02-12,65,1,2237,1909,2021-02-13
9,2019-08-09,2019-08-23,74,17,2458,2223,2019-08-24
9,2018-05-04,2018-05-18,69,18,2367,1877,2018-05-19
9,2023-07-05,2023-07-19,76,16,3526,3370,2023-07-20
9,2015-06-16,2015-06-30,63,7,2539,2362,2015-07-01
9,2021-12-02,2021-12-16,79,14,3270,2781,2021-12-17
9,2017-03-06,2017-03-20,67,2,2362,1999,2017-03-21
9,2019-07-22,2019-08-05,69,17,3601,3356,2019-08-06
9,2016-02-14,2016-02-28,68,3,3855,3601,2016-02-29
9,2020-09-11,2020-09-25,63,17,2750,2279,2020-09-26
10,2016-04-21,2016-05-05,79,19,2637,2217,2016-05-06
10,2015-08-31,2015-09-14,75,3,2218,1726,2015-09-15
10,2024-02-03,2024-02-17,80,20,3182,2908,2024-02-18
10,2014-09-06,2014-09-20,80,9,3424,3051,2014-09-21
10,2020-08-12,2020-08-26,65,1,3460,3049,2020-08-27
10,2018-03-08,2018-03-22,68,1,2229,2019,2018-03-23
10,2023-03-06,2023-03-20,76,9,3045,2652,2023-03-21
10,2016-05-30,2016-06-13,74,20,2384,2175,2016-06-14
10,2021-07-16,2021-07-30,62,5,2368,2121,2021-07-31
10,2015-11-27,2015-12-11,79,9,3295,3150,2015-12-12
10,2022-05-04,2022-05-18,70,15,3450,2977,2022-05-19
10,2023-04-26,2023-05-10,79,8,2544,2137,2023-05-11
10,2019-08-04,2019-08-18,67,8,3400,3120,2019-08-19
10,2016-12-21,2017-01-04,75,5,3371,3103,2017-01-05
10,2017-08-25,2017-09-08,66,17,2292,2170,2017-09-09
10,2017-10-19,2017-11-02,80,20,2326,2051,2017-11-03
10,2016-12-10,2016-12-24,61,4,2946,2555,2016-12-25
10,2018-03-14,2018-03-28,64,1,3214,2894,2018-03-29
10,2023-12-25,2024-01-08,78,2,3484,3012,2024-01-09
10,2020-07-16,2020-07-30,75,20,3234,2765,2020-07-31
10,2020-12-06,2020-12-20,72,18,2477,2121,2020-12-21
10,2015-05-12,2015-05-26,65,12,2546,2129,2015-05-27
10,2015-12-28,2016-01-11,78,5,3204,3027,2016-01-12
10,2022-03-04,2022-03-18,76,7,2794,2664,2022-03-19
11,2022-07-14,2022-07-28,71,0,3568,3444,2022-07-29
11,2015-12-23,2016-01-06,71,16,2668,2423,2016-01-07
11,2021-12-08,2021-12-22,77,6,3250,2756,2021-12-23
11,2018-06-11,2018-06-25,65,8,3994,3732,2018-06-26
11,2022-02-03,2022-02-17,78,7,2778,2563,2022-02-18
11,2020-01-23,2020-02-06,68,0,3010,2527,2020-02-07
11,2018-12-07,2018-12-21,64,19,3285,2957,2018-12-22
11,2020-01-11,2020-01-25,77,8,2332,1879,2020-01-26
11,2017-07-16,2017-07-30,60,15,3820,3367,2017-07-31
11,2017-01-23,2017-02-06,78,11,3102,2924,2017-02-07
11,2023-02-17,2023-03-03,64,13,2360,1929,2023-03-04
11,2017-01-27,2017-02-10,69,19,3220,2974,2017-02-11
11,2015-08-31,2015-09-14,70,20,2222,1768,2015-09-15
11,2023-04-15,2023-04-29,68,8,2847,2565,2023-04-30
11,2022-03-08,2022-03-22,61,7,2879,2773,2022-03-23
11,2016-08-11,2016-08-25,60,18,3242,3010,2016-08-26
11,2014-10-08,2014-10-22,78,20,3732,3514,2014-10-23
11,2018-04-05,2018-04-19,65,3,2068,1792,2018-04-20
11,2024-05-26,2024-06-09,73,10,3443,2998,2024-06-10
11,2016-11-17,2016-12-01,75,12,3283,3085,2016-12-02
11,2024-03-05,2024-03-19,79,17,2153,1846,2024-03-20
11,2022-02-26,2022-03-12,70,2,2026,1682,2022-03-13
11,2015-05-15,2015-05-29,70,14,2187,1949,2015-05-30
11,2020-06-25,2020-07-09,66,5,2760,2645,2020-07-10
12,2018-07-21,2018-08-04,70,2,3700,3500,2018-08-05
12,2018-01-12,2018-01-26,60,13,2917,2519,2018-01-27
12,2015-12-27,2016-01-10,63,8,3486,3306,2016-01-11
12,2017-08-12,2017-08-26,66,19,3208,3048,2017-08-27
12,2022-08-06,2022-08-20,68,11,3977,3578,2022-08-21
12,2018-05-09,2018-05-23,80,19,3777,3391,2018-05-24
12,2014-12-28,2015-01-11,69,18,3594,3193,2015-01-12
12,2018-02-09,2018-02-23,76,4,3005,2775,2018-02-24
12,2024-02-27,2024-03-12,64,8,3021,2876,2024-03-13
12,2017-07-06,2017-07-20,67,4,3280,2942,2017-07-21
12,2018-08-19,2018-09-02,72,3,3348,3214,2018-09-03
12,2015-07-05,2015-07-19,78,10,3468,3276,2015-07-20
12,2020-08-26,2020-09-09,72,14,3982,3876,2020-09-10
12,2017-06-29,2017-07-13,78,12,3599,3485,2017-07-14
12,2023-06-24,2023-07-08,72,20,3720,3382,2023-07-09
12,2021-02-21,2021-03-07,69,0,3534,3248,2021-03-08
12,2021-01-18,2021-02-01,72,8,3296,2994,2021-02-02
12,2024-08-01,2024-08-15,72,3,3456,3321,2024-08-16
12,2023-08-23,2023-09-06,63,2,3728,3430,2023-09-07
12,2015-01-18,2015-02-01,75,20,2437,1974,2015-02-02
12,2022-12-16,2022-12-30,62,17,3884,3446,2022-12-31
12,2015-03-12,2015-03-26,79,9,2864,2586,2015-03-27
12,2021-08-24,2021-09-07,74,2,3637,3241,2021-09-08
12,2016-07-17,2016-07-31,76,3,2838,2365,2016-08-01
13,2023-04-13,2023-04-27,75,17,2228,1885,2023-04-28
13,2020-05-15,2020-05-29,67,16,3209,2845,2020-05-30
13,2023-12-07,2023-12-21,79,18,2720,2241,2023-12-22
13,2021-07-13,2021-07-27,67,1,3899,3717,2021-07-28
13,2021-02-06,2021-02-20,67,5,3208,3101,2021-02-21
13,2017-03-24,2017-04-07,67,18,2359,1932,2017-04-08
13,2017-01-09,2017-01-23,65,10,2705,2211,2017-01-24
13,2019-07-16,2019-07-30,63,7,3145,2806,2019-07-31
13,2018-10-14,2018-10-28,70,9,2430,2146,2018-10-29
13,2015-01-07,2015-01-21,61,18,3150,2863,2015-01-22
13,2017-02-26,2017-03-12,74,19,2553,2123,2017-03-13
13,2018-06-05,2018-06-19,62,4,3964,3844,2018-06-20
13,2021-06-15,2021-06-29,77,5,3571,3466,2021-06-30
13,2015-08-21,2015-09-04,61,9,2092,1605,2015-09-05
13,2014-08-29,2014-09-12,63,7,3523,3081,2014-09-13
13,2017-08-23,2017-09-06,61,2,2431,2069,2017-09-07
13,2020-01-08,2020-01-22,75,20,3850,3423,2020-01-23
13,2024-07-20,2024-08-03,63,11,3924,3454,2024-08-04
13,2021-09-30,2021-10-14,79,9,3208,2820,2021-10-15
13,2018-06-02,2018-06-16,69,10,2165,2053,2018-06-17
13,2023-12-30,2024-01-13,66,19,3459,2994,2024-01-14
13,2023-01-29,2023-02-12,64,0,3157,2909,2023-02-13
13,2015-02-28,2015-03-14,64,17,3751,3378,2015-03-15
13,2014-12-21,2015-01-04,80,10,2997,2763,2015-01-05
14,2015-08-04,2015-08-18,68,13,3052,2854,2015-08-19
14,2022-05-02,2022-05-16,80,5,2617,2468,2022-05-17
14,2019-03-17,2019-03-31,69,8,3908,3411,2019-04-01
14,2023-12-03,2023-12-17,78,6,3838,3609,2023-12-18
14,2023-02-26,2023-03-12,77,17,2273,1990,2023-03-13
14,2023-12-04,2023-12-18,75,2,2964,2514,2023-12-19
14,2022-08-23,2022-09-06,80,3,3177,2715,2022-09-07
14,2018-05-23,2018-06-06,64,14,3292,3001,2018-06-07
14,2019-08-12,2019-08-26,67,2,2411,2179,2019-08-27
14,2019-09-17,2019-10-01,64,3,2761,2472,2019-10-02
14,2016-10-29,2016-11-12,72,15,2928,2485,2016-11-13
14,2020-03-29,2020-04-12,76,20,3888,3579,2020-04-13
14,2016-01-20,2016-02-03,60,9,3410,3248,2016-02-04
14,2018-06-01,2018-06-15,65,9,2643,2168,2018-06-16
14,2019-02-26,2019-03-12,80,0,2163,2026,2019-03-13
14,2015-02-28,2015-03-14,62,9,3455,3058,2015-03-15
14,2018-04-19,2018-05-03,61,19,2471,2269,2018-05-04
14,2018-06-22,2018-07-06,78,11,2023,1616,2018-07-07
14,2018-12-28,2019-01-11,74,14,3326,3192,2019-01-12
14,2023-10-21,2023-11-04,75,7,2386,1921,2023-11-05
14,2022-11-18,2022-12-02,76,11,2138,1854,2022-12-03
14,2016-12-10,2016-12-24,70,18,2881,2659,2016-12-25
14,2022-08-28,2022-09-11,73,12,2000,1844,2022-09-12
14,2018-11-12,2018-11-26,68,17,3317,3112,2018-11-27
15,2018-03-23,2018-04-06,76,15,3117,2786,2018-04-07
15,2020-12-28,2021-01-11,65,7,3843,3454,2021-01-12
15,2021-01-04,2021-01-18,76,11,2663,2367,2021-01-19
15,2017-06-16,2017-06-30,63,17,3733,3487,2017-07-01
15,2016-07-03,2016-07-17,67,16,2675,2340,2016-07-18
15,2015-10-27,2015-11-10,61,13,2162,1903,2015-11-11
15,2017-05-02,2017-05-16,65,8,3755,3512,2017-05-17
15,2016-09-07,2016-09-21,64,20,3621,3488,2016-09-22
15,2020-04-09,2020-04-23,61,1,3188,2946,2020-04-24
15,2015-06-22,2015-07-06,69,15,3404,2974,2015-07-07
15,2021-09-12,2021-09-26,63,19,2735,2563,2021-09-27
15,2014-08-27,2014-09-10,63,18,3397,3105,2014-09-11
15,2017-01-24,2017-02-07,65,5,3599,3242,2017-02-08
15,2017-12-27,2018-01-10,64,5,2246,1868,2018-01-11
15,2024-04-19,2024-05-03,78,11,2470,2090,2024-05-04
15,2024-02-24,2024-03-09,71,11,2470,1997,2024-03-10
15,2024-01-04,2024-01-18,71,11,3574,3236,2024-01-19
15,2018-03-24,2018-04-07,78,3,2340,2018,2018-04-08
15,2017-01-24,2017-02-07,71,17,2934,2490,2017-02-08
15,2016-06-08,2016-06-22,71,15,3196,3088,2016-06-23
15,2018-04-27,2018-05-11,68,14,2625,2457,2018-05-12
15,2022-09-24,2022-10-08,67,20,2541,2387,2022-10-09
15,2019-09-07,2019-09-21,62,14,2224,1952,2019-09-22
15,2021-11-02,2021-11-16,62,3,3100,2705,2021-11-17
16,2020-08-03,2020-08-17,74,12,3199,2791,2020-08-18
16,2015-11-07,2015-11-21,70,18,2154,1769,2015-11-22
16,2017-04-03,2017-04-17,74,5,3729,3564,2017-04-18
16,2022-03-29,2022-04-12,73,7,2863,2577,2022-04-13
16,2016-11-11,2016-11-25,67,0,2055,1616,2016-11-26
16,2019-09-04,2019-09-18,60,4,2168,1897,2019-09-19
16,2023-09-18,2023-10-02,78,18,3382,2958,2023-10-03
16,2015-02-09,2015-02-23,60,0,2611,2234,2015-02-24
16,2020-01-23,2020-02-06,69,8,3756,3423,2020-02-07
16,2018-06-23,2018-07-07,73,9,3475,3336,2018-07-08
16,2015-07-11,2015-07-25,78,11,2997,2503,2015-07-26
16,2019-03-14,2019-03-28,73,20,2792,2459,2019-03-29
16,2017-07-06,2017-07-20,65,15,2638,2178,2017-07-21
16,2016-12-06,2016-12-20,75,15,2299,2131,2016-12-21
16,2022-07-31,2022-08-14,79,7,3556,3201,2022-08-15
16,2016-02-28,2016-03-13,65,19,2538,2278,2016-03-14
16,2020-09-08,2020-09-22,73,14,3549,3238,2020-09-23
16,2017-05-04,2017-05-18,76,2,2035,1623,2017-05-19
16,2019-08-08,2019-08-22,65,10,2329,2089,2019-08-23
16,2021-11-18,2021-12-02,65,4,2092,1733,2021-12-03
16,2021-06-20,2021-07-04,60,7,3042,2544,2021-07-05
16,2024-05-18,2024-06-01,78,6,2570,2333,2024-06-02
16,2017-05-25,2017-06-08,74,15,3015,2895,2017-06-09
16,2015-10-05,2015-10-19,72,1,3426,3247,2015-10-20
17,2020-09-16,2020-09-30,71,14,3570,3095,2020-10-01
17,2021-03-15,2021-03-29,66,2,2039,1722,2021-03-30
17,2020-11-08,2020-11-22,70,20,2189,2020,2020-11-23
17,2019-03-23,2019-04-06,76,14,3310,3117,2019-04-07
17,2016-05-15,2016-05-29,76,20,2286,2001,2016-05-30
17,2016-07-24,2016-08-07,76,0,2776,2276,2016-08-08
17,2023-11-21,2023-12-05,67,8,2032,1698,2023-12-06
17,2018-09-01,2018-09-15,80,3,2229,1880,2018-09-16
17,2022-08-04,2022-08-18,63,8,3843,3655,2022-08-19
17,2017-08-04,2017-08-18,78,11,3763,3282,2017-08-19
17,2016-02-02,2016-02-16,74,20,2380,2060,2016-02-17
17,2023-12-20,2024-01-03,65,3,3506,3138,2024-01-04
17,2016-09-24,2016-10-08,63,9,2162,1751,2016-10-09
17,2021-11-14,2021-11-28,71,14,2490,2201,2021-11-29
17,2016-10-24,2016-11-07,70,8,3278,3041,2016-11-08
17,2024-07-21,2024-08-04,78,7,3600,3238,2024-08-05
17,2023-01-25,2023-02-08,74,19,2680,2499,2023-02-09
17,2015-03-19,2015-04-02,72,20,3147,2942,2015-04-03
17,2021-05-26,2021-06-09,66,19,3760,3325,2021-06-10
17,2016-07-08,2016-07-22,75,7,3076,2798,2016-07-23
17,2018-10-21,2018-11-04,63,12,3758,3655,2018-11-05
17,2015-11-09,2015-11-23,74,16,3737,3374,2015-11-24
17,2017-08-26,2017-09-09,71,6,3183,3009,2017-09-10
17,2024-03-21,2024-04-04,80,5,2737,2336,2024-04-05
18,2014-09-23,2014-10-07,80,2,3277,3128,2014-10-08
18,2022-12-31,2023-01-14,60,13,2914,2747,2023-01-15
18,2019-05-27,2019-06-10,69,11,2406,1955,2019-06-11
18,2016-12-25,2017-01-08,63,20,3746,3498,2017-01-09
18,2020-08-15,2020-08-29,80,19,2988,2789,2020-08-30
18,2018-12-23,2019-01-06,61,0,3732,3458,2019-01-07
18,2017-08-07,2017-08-21,60,11,3071,2717,2017-08-22
18,2015-09-25,2015-10-09,63,7,3145,2795,2015-10-10
18,2016-08-04,2016-08-18,76,20,2134,1765,2016-08-19
18,2019-01-18,2019-02-01,60,0,2087,1840,2019-02-02
18,2024-07-29,2024-08-12,75,13,2750,2490,2024-08-13
18,2023-12-23,2024-01-06,75,2,3938,3480,2024-01-07
18,2017-03-05,2017-03-19,65,11,3708,3508,2017-03-20
