employee_id,base_salary,bonus,deductions,pay_date
8,58369,5860,4393,2022-05-23
8,75032,4736,3951,2023-07-24
8,95616,5845,2668,2023-10-09
9,62418,6191,3844,2014-11-09
9,88422,6948,2840,2015-12-02
9,67209,8313,1489,2016-08-18
9,94101,8405,3402,2017-12-20
9,85335,1248,4676,2019-01-17
9,79879,4868,2030,2020-05-20
9,84323,7328,2714,2021-05-27
9,58985,8413,3133,2022-03-04
9,64338,3761,4438,2023-07-19
9,80768,2229,4577,2024-05-12
10,62638,7315,2672,2014-12-04
10,65011,3418,3144,2016-02-13
10,64118,4629,1471,2017-02-13
10,55626,2758,4381,2017-10-23
10,91854,3800,2501,2018-10-17
10,70322,7337,1601,2020-05-30
10,74831,938,1995,2021-05-28
10,78496,692,2924,2022-01-29
10,97873,746,1932,2022-09-15
10,92387,7130,1029,2024-04-21
11,84274,508,4062,2015-04-10
11,99482,1893,4284,2016-05-15
11,70781,1481,2237,2016-09-14
11,71088,7974,2861,2018-03-07
11,98140,6901,1416,2019-03-12
11,96035,4344,1787,2020-08-05
11,74000,2218,2104,2021-05-29
11,63067,5066,4609,2021-11-02
11,67932,1316,3851,2022-10-17
11,93010,6256,1190,2024-05-21
12,64350,6310,3945,2015-07-19
12,70939,5779,1979,2016-01-26
12,89690,1877,4435,2017-07-29
12,54362,6143,4063,2018-02-16
12,58324,9654,2810,2018-12-26
12,50119,2612,3727,2020-07-29
12,95436,8292,2127,2021-06-28
12,95610,4848,4620,2021-09-13
12,65107,1331,4828,2022-10-20
12,57300,3223,1314,2024-04-02
13,51441,3257,3500,2014-09-04
13,59024,4313,3199,2015-12-01
13,85148,2955,1722,2017-03-14
13,82732,5436,1356,2018-01-25
13,52474,5376,4016,2018-12-23
13,72311,4040,2899,2020-04-14
13,70690,5437,1026,2021-03-03
13,91291,9471,4049,2022-05-23
13,84006,3891,1036,2023-01-02
13,71261,4451,2662,2024-07-26
14,69182,8735,1607,2015-05-05
14,98759,2646,2006,2015-09-02
14,91520,4383,4351,2016-10-26
14,98902,9758,3975,2018-01-28
14,85262,5229,2825,2018-12-13
14,51115,3963,4424,2020-03-28
14,88053,1127,1183,2021-02-17
14,59363,7551,2461,2021-11-30
14,94706,545,4582,2023-03-16
14,96344,999,1703,2024-02-28
15,74769,9877,3352,2015-02-23
15,60841,4299,1669,2016-07-22
15,62628,4093,3453,2017-03-18
15,71699,4833,3444,2018-06-14
15,96317,7274,4229,2018-11-05
15,97642,9705,4424,2019-10-17
15,71530,4336,2895,2021-06-16
15,53314,2506,2197,2022-01-09
15,73672,800,3012,2022-12-03
15,92764,5510,1764,2024-04-18
16,68914,2475,2651,2015-04-28
16,94250,1406,1599,2015-08-27
16,57582,4302,2689,2016-12-11
16,97063,5587,1861,2017-11-17
16,62788,5903,3768,2019-05-06
16,57878,2046,3991,2019-09-13
16,91107,5417,1200,2020-10-05
16,73666,9802,2632,2022-02-27
16,99569,5794,3479,2023-03-04
16,61054,5955,3724,2024-07-07
17,79755,5571,2159,2015-07-30
17,59245,3091,2346,2016-08-01
17,82405,137,4847,2016-11-15
17,86502,2659,2075,2018-06-24
17,60121,212,2358,2018-10-30
17,93207,8784,3073,2020-01-11
17,96188,9024,4023,2021-03-16
17,98488,5742,4861,2022-03-16
17,65626,7943,1464,2022-09-08
17,88874,2235,1172,2024-02-17
18,94420,4772,4506,2014-12-14
18,79225,8528,4478,2016-07-25
18,99297,6661,1821,2016-08-23
18,85657,6181,2435,2018-03-02
18,90318,9384,4712,2019-03-19
18,85525,2331,2734,2020-07-31
18,68861,2535,4522,2020-08-31
18,98553,3670,2158,2022-02-08
18,79020,1242,4000,2022-11-20
18,65019,734,3559,2023-10-11
19,90799,1010,2730,2014-09-01
19,72493,1765,2002,2016-07-06
19,77080,9801,3787,2017-07-26
19,66828,8107,1552,2017-09-18
19,78645,9381,4294,2019-03-29
19,87629,2068,3942,2019-09-21
19,54980,5504,2293,2021-01-28
19,60662,3074,4996,2022-05-18
19,97112,2872,4841,2022-11-10
19,65366,4367,1898,2024-07-31
20,53763,2319,3229,2014-12-17
20,51018,6422,1759,2015-11-09
20,78998,2292,2946,2016-12-07
20,68779,343,4307,2017-12-03
20,89358,500,1894,2019-05-28
20,71918,7599,1538,2019-08-26
20,76645,429,2725,2020-08-09
20,82943,4927,4605,2021-08-11
20,60950,9497,3181,2023-06-30
20,90965,3924,1126,2024-03-04
21,95291,9012,2305,2015-01-11
21,53875,4465,4807,2015-10-28
21,99951,5343,3378,2017-01-09
21,51990,6937,3671,2018-06-07
21,87900,7877,3476,2019-07-30
21,80977,6922,1779,2019-08-27
21,70523,140,2483,2021-03-05
21,86160,9904,2342,2021-12-10
21,81897,6934,1557,2022-09-02
21,98785,6702,1052,2024-06-24
22,58850,566,1814,2015-01-18
22,79848,6196,1966,2016-05-25
22,74457,5489,3529,2017-07-25
22,80620,9166,4059,2018-06-29
22,85460,1891,2641,2019-06-10
22,58540,8037,4455,2020-01-03
22,99826,9319,3742,2020-10-23
22,90920,1072,2086,2021-11-07
22,62829,3113,4520,2023-01-15
22,72154,6689,4727,2024-01-09
23,84688,7872,3345,2014-12-17
23,59852,7877,4537,2016-08-01
23,68473,1193,1564,2017-06-18
23,66723,3825,2069,2017-11-27
23,96706,6757,4821,2018-08-11
23,96321,4590,2504,2020-07-11
23,73176,5429,3861,2020-12-17
23,61888,8786,4622,2021-09-25
23,88265,7373,4561,2022-11-08
23,66486,7193,2616,2024-07-09
24,69895,97,2770,2014-09-20
24,87563,1419,2538,2015-12-15
24,53853,9585,2387,2017-06-06
24,77545,25,2009,2017-11-23
24,97733,9400,4732,2019-01-19
24,67232,8130,2999,2019-08-20
24,70161,819,2330,2020-08-17
24,68397,4637,1273,2021-08-21
24,99477,5455,4828,2023-05-15
24,65029,5686,1542,2023-09-22
25,55295,6298,1712,2015-01-22
25,81086,7894,3766,2016-01-15
25,53480,8456,4143,2017-01-26
25,84371,241,4874,2018-02-22
25,61549,6125,4556,2019-02-02
25,51249,7465,2873,2020-07-27
25,98310,6907,1170,2020-12-14
25,96580,3878,4966,2022-07-24
25,59525,6506,2765,2023-07-05
25,91754,7171,1297,2023-09-24
26,67404,38,2590,2015-01-20
26,59342,9135,2149,2015-11-15
26,78709,5229,4870,2017-06-12
26,79400,4146,2638,2018-04-20
26,83600,2426,4787,2018-10-02
26,54273,8167,2067,2020-07-17
26,79346,9023,3177,2020-10-28
26,93095,4397,4386,2021-09-18
26,59387,2098,3470,2023-05-21
26,95178,2149,2451,2023-12-09
27,73299,928,3625,2014-11-11
27,91570,4357,1059,2016-02-11
27,62789,7500,2610,2016-08-25
27,58690,8346,1821,2018-02-13
27,95888,1258,4268,2018-10-15
27,77034,3619,1963,2020-03-29
27,97561,2276,3765,2020-12-05
27,68289,3734,4460,2022-05-16
27,79214,2921,4328,2023-03-10
27,64235,6851,1183,2024-07-08
28,98198,4286,1017,2015-07-12
28,69100,2624,3695,2015-12-08
28,60706,3634,3136,2017-01-28
28,98577,2574,3211,2017-08-26
28,98730,1254,2311,2019-08-06
28,86080,189,4805,2020-03-12
28,86858,5740,3919,2021-05-09
28,95742,7683,3818,2022-05-31
28,55542,4676,4584,2023-01-25
28,85999,8674,3944,2023-09-12
29,56022,6018,1433,2015-02-23
29,65024,5202,1308,2016-02-13
29,69240,1490,3078,2017-04-17
29,98227,3991,3057,2017-10-25
29,90658,9287,1795,2019-06-30
29,56511,4852,3684,2020-04-27
29,81032,4599,4447,2020-09-18
29,85960,1281,3003,2022-03-21
29,72750,3798,1743,2023-02-25
29,57105,1814,3723,2024-03-06
30,79058,9214,3122,2015-03-10
30,83655,1988,1207,2016-06-05
30,89249,2613,4358,2016-09-26
30,51432,3137,3226,2018-07-28
30,96949,1554,1099,2019-06-28
30,94669,4887,2960,2020-04-28
30,85014,5110,1143,2021-04-24
30,84394,7415,2276,2022-02-14
30,66190,4612,3835,2022-09-25
30,71749,7068,2343,2023-10-14
31,94656,5743,4870,2015-04-06
31,90497,9764,1594,2015-08-12
31,82520,4330,2770,2016-12-16
31,84427,6515,2521,2018-03-10
31,97467,9508,3243,2018-12-29
31,73079,6070,4391,2020-05-08
31,57809,6686,2689,2021-05-23
31,53880,4310,2696,2022-05-30
31,98717,5674,1978,2023-06-02
31,69152,309,2970,2023-09-01
32,78104,5039,4415,2015-06-09
32,96559,6641,4357,2015-09-09
32,58138,9836,2429,2017-01-03
32,81610,3130,1311,2018-01-19
32,91035,6595,3900,2019-01-05
32,55515,9622,3071,2020-06-19
32,58874,2520,1962,2020-09-06
32,74295,3603,2259,2022-04-13
32,87487,2490,3859,2022-12-22
32,59166,2999,1608,2023-08-30
33,53101,2388,1560,2015-01-19
33,96619,49,2566,2016-07-19
33,73338,6456,4851,2017-04-12
33,56388,3808,1793,2017-09-15
33,80019,8472,3009,2019-02-11
33,94405,7226,1036,2020-03-30
33,58087,6496,2959,2021-04-25
33,97118,3969,3977,2022-05-12
33,96514,4821,4138,2023-04-30
33,90132,3119,3451,2023-09-07
34,60553,4520,3847,2015-08-06
34,76536,8573,1238,2015-08-07
34,98870,9852,2767,2016-11-15
34,91025,9058,3176,2018-01-26
34,71579,6003,3340,2018-12-21
34,85794,8913,4385,2019-11-15
34,50668,4719,3842,2020-08-29
34,56912,9562,1304,2022-04-08
34,69217,3921,1119,2023-07-30
34,53516,237,3030,2024-04-05
35,95304,2072,4539,2014-11-10
35,53099,9947,2770,2015-12-31
35,83670,3591,2681,2017-07-23
35,64909,282,3997,2018-06-25
35,88995,1813,4804,2019-06-11
35,71236,6831,4570,2020-06-08
35,57330,9839,1827,2021-03-19
35,57060,8562,2211,2022-05-20
35,69834,4733,2971,2023-01-23
35,97607,8773,1006,2023-09-16
36,75390,6098,3425,2014-09-08
36,87715,9425,3788,2015-08-20
36,89828,1416,2656,2016-09-13
36,65494,4234,1508,2017-10-08
36,86490,1126,4370,2018-10-26
36,84560,7808,1615,2020-02-15
36,56000,5350,3990,2020-09-15
36,67464,8834,2182,2021-08-15
36,60299,6525,1762,2023-04-29
36,91386,8429,4170,2023-12-04
37,97050,7074,4866,2015-05-14
37,97020,5192,2425,2015-10-15
37,99718,6646,4353,2016-09-26
37,83885,5837,3247,2018-07-21
37,89458,6554,3164,2018-12-24
37,67406,913,4161,2019-11-04
37,74785,6126,2666,2020-11-19
37,81519,4036,1212,2022-05-07
37,66669,1405,1309,2022-12-05
37,76297,8794,1849,2024-05-26
38,57819,7080,3570,2015-03-05
38,58569,3151,3800,2016-02-12
38,56685,3458,4207,2017-04-25
38,50508,8284,2332,2017-09-15
38,87041,3999,2377,2018-12-01
38,96835,934,4930,2019-10-07
38,87481,3344,4880,2020-12-15
38,89692,9048,2720,2022-03-28
38,60612,6429,1608,2022-09-17
38,90576,1239,1643,2024-01-02
39,59127,6678,1088,2015-03-28
39,76638,8694,3972,2016-04-03
39,64476,5869,1676,2016-12-14
39,56890,7890,1089,2017-11-20
39,93694,2860,4814,2019-03-11
39,99616,6999,4085,2020-07-19
39,80228,4239,3025,2020-09-27
39,91340,1114,2183,2021-09-13
39,70776,7513,3548,2022-09-07
39,56837,6288,2927,2024-05-01
40,78311,8774,4842,2015-06-05
40,76728,4767,1556,2015-09-24
40,60716,6800,2188,2016-11-22
40,63253,5357,3143,2018-01-30
40,78668,1385,4303,2018-10-04
40,85334,1721,2561,2020-04-29
40,67710,9483,4204,2020-09-02
40,83492,4642,1159,2021-11-01
40,88388,6371,4922,2023-02-16
40,85263,6251,1066,2024-07-17
41,86357,4546,2750,2015-05-09
41,73096,131,4719,2016-08-06
41,86551,7846,3002,2016-10-12
41,64680,7664,3330,2018-01-23
41,76797,9121,3225,2019-05-24
41,62615,7296,3308,2020-06-30
41,51260,8743,1184,2020-10-04
41,78682,6378,3225,2022-06-25
41,92540,8468,4090,2023-07-18
41,99112,5363,4684,2024-03-07
42,72331,6680,4744,2015-03-28
42,50002,3568,1148,2016-06-26
42,94903,9940,2081,2017-01-22
42,52795,1831,3919,2017-12-30
42,86259,9271,3330,2019-04-29
42,56704,7274,1807,2020-03-06
42,51742,3219,4115,2021-05-29
42,90735,4905,3129,2022-04-09
42,90512,6982,3468,2023-04-24
42,64127,8181,1047,2024-05-26
43,52197,6324,2420,2015-03-14
43,58763,2107,3966,2016-04-19
43,81855,8539,1653,2016-10-19
43,60310,9466,4779,2017-08-13
43,87681,7499,3460,2019-05-28
43,52301,6173,2230,2019-12-13
43,66575,5396,3154,2020-10-29
43,69459,5284,1313,2022-04-28
43,67049,4688,3850,2023-06-18
43,68967,4432,3927,2024-02-01
44,77967,4880,1811,2015-07-12
44,84849,2653,2414,2016-01-19
44,75857,5997,1009,2017-04-16
44,94343,107,4642,2017-12-03
44,98947,2468,4732,2019-02-18
44,97375,2373,3311,2020-02-04
44,74444,9371,4286,2020-09-26
44,82481,8304,3482,2021-08-28
44,80463,3255,3464,2022-10-13
44,78384,3757,2721,2024-05-15
45,88629,3875,2761,2015-06-03
45,67844,3841,3038,2016-07-27
45,72421,7528,1782,2016-10-24
45,56158,497,1305,2018-06-13
45,72729,4610,4952,2019-02-28
45,99891,2753,1199,2020-07-13
45,66035,6007,4540,2021-05-23
45,94429,5262,4701,2021-09-07
45,92731,8377,2029,2022-11-24
45,59833,7174,3682,2023-10-20
46,71738,3545,4851,2015-04-10
46,96499,1035,3872,2016-02-02
46,50365,9077,1374,2016-09-19
46,58204,825,2559,2018-01-03
46,95312,2899,1273,2019-07-22
46,90652,8027,2420,2020-02-07
46,55836,7017,3971,2021-04-05
46,76744,4304,4082,2022-07-20
46,75302,1587,2932,2023-06-21
46,69541,3490,3955,2024-06-13
47,54900,6565,2840,2014-11-04
47,82914,7618,2853,2015-09-30
47,63227,200,4242,2017-01-28
47,97689,4920,2223,2018-03-22
47,86498,1870,2236,2019-04-25
47,88194,300,3833,2019-08-12
47,72740,6810,2231,2021-05-07
47,88329,6099,1323,2021-11-18
47,70754,7806,1941,2022-12-21
47,98022,2515,2843,2024-07-18
48,84303,7107,2731,2015-03-01
48,94904,519,4548,2016-02-17
48,80848,5323,2929,2016-11-13
48,52159,3280,3634,2018-08-02
48,72832,5474,3107,2018-10-09
48,50394,4805,4036,2020-04-08
48,85547,9692,2338,2021-03-01
48,88442,4928,2816,2022-05-27
48,51339,9855,3497,2022-12-19
48,95483,3569,2488,2024-01-23
49,84489,6708,2534,2015-05-28
49,98890,456,4257,2016-06-09
49,61953,2962,4432,2017-01-10
49,52015,1673,3520,2017-10-01
49,67742,2443,2887,2019-06-23
49,97271,5667,2969,2020-01-27
49,50447,8787,4716,2020-11-22
49,71772,5027,1110,2021-12-13
49,53525,7672,3551,2023-03-17
49,50753,5538,1947,2023-11-03
50,67645,2628,3680,2014-12-16
50,53899,5980,2381,2016-05-26
50,96142,3821,1695,2017-01-28
50,78912,6471,2539,2018-02-12
50,61702,5236,2531,2018-12-04
50,51464,5570,2146,2019-10-24
50,72171,8534,3527,2020-12-10
50,54740,2244,4939,2022-03-01
50,95221,7176,2280,2022-09-29
50,59830,7482,3360,2023-10-08
51,62802,7676,4080,2014-12-24
51,57709,5304,4045,2016-02-29
51,62722,5114,4456,2017-02-17
51,89766,4859,3332,2017-12-14
51,93306,8120,2815,2019-07-27
51,79287,6164,1148,2019-12-24
51,99348,4733,1570,2021-06-01
51,80165,4737,2685,2022-04-19
51,77042,4664,4834,2023-02-25
51,66949,4271,2016,2023-10-13
52,95716,6983,1305,2015-01-29
52,97767,1300,1693,2015-12-27
52,68779,2695,2535,2017-08-03
52,93294,2869,4766,2018-06-04
52,90915,8275,3276,2018-12-21
52,67995,5182,2497,2020-02-22
52,83214,5237,4721,2020-10-28
52,79522,5429,1104,2021-10-16
52,84904,2969,3931,2023-02-05
52,50743,392,3802,2024-05-28
53,95771,2737,3956,2014-11-10
53,97985,3827,2788,2016-02-05
53,93751,1653,3523,2017-05-26
53,83277,6548,2299,2018-04-18
53,60768,4287,3286,2019-06-01
53,85010,7652,1202,2019-12-18
53,64060,195,4580,2021-07-20
53,62343,9248,2181,2022-04-21
53,91375,5869,1082,2022-09-17
53,88259,3154,1999,2023-08-30
54,89573,1980,1676,2015-02-07
54,72968,2729,4208,2016-06-24
54,56351,2977,4266,2017-01-06
54,91330,3118,2615,2018-06-22
54,57818,466,4674,2018-08-24
54,53536,4213,2280,2020-03-30
54,60281,8237,3486,2021-07-26
54,62595,901,2040,2021-08-15
54,84994,9080,2976,2023-03-18
54,80329,5380,3521,2024-05-07
55,54866,741,2316,2014-10-31
55,72711,3844,4163,2016-01-17
55,71285,8628,3100,2017-07-13
55,88548,6679,1613,2018-05-31
55,88049,194,3636,2019-04-15
55,96956,8155,2273,2020-05-10
55,60978,7092,2593,2021-02-25
55,90145,6145,1250,2021-12-15
55,70959,7581,2162,2023-02-07
55,61645,5532,1547,2024-07-14
56,66597,7046,2874,2014-11-29
56,56293,2039,1949,2015-11-19
56,74148,6206,2354,2017-02-28
56,89366,4591,1311,2018-06-01
56,88191,1809,4993,2019-07-29
56,71070,8259,3287,2019-11-26
56,77975,5886,1320,2021-02-16
56,72909,4947,2176,2022-01-12
56,74395,6985,1162,2023-05-28
56,92623,3364,3327,2024-03-07
57,58756,1276,3258,2014-10-30
57,77835,476,2379,2016-07-13
57,81515,3710,4672,2017-03-10
57,65604,2120,2635,2018-02-05
57,75626,8670,4463,2019-05-27
57,97332,5712,4794,2020-01-12
57,59622,7213,3002,2021-03-24
57,61069,3375,2336,2022-01-05
57,84440,1379,2003,2023-05-14
57,70032,8366,4843,2023-12-18
58,57303,900,2247,2014-12-29
58,60310,3276,3961,2016-03-29
58,64302,5948,1142,2017-07-02
58,96317,3921,2446,2018-02-10
58,99817,7486,1582,2018-10-13
58,99223,9700,3183,2020-06-26
58,93961,8803,2445,2021-07-06
58,95870,2308,1255,2022-08-03
58,63791,7614,1852,2022-08-31
58,98011,9331,3925,2024-01-26
59,86694,9434,3488,2015-06-04
59,61605,2595,4058,2015-09-02
59,96105,5538,4847,2016-11-11
59,87485,2321,4590,2018-04-03
59,77745,4697,3759,2018-09-30
59,72414,4334,3550,2020-04-08
59,66476,1955,1039,2020-10-03
59,99575,1318,2013,2021-10-24
59,91196,2832,2175,2022-12-30
59,67606,178,4628,2024-06-21
60,92318,191,1622,2015-06-10
60,96608,5636,3360,2015-11-06
60,55279,3612,2037,2017-05-27
60,80679,6596,3237,2018-05-01
60,72632,3960,3500,2018-09-02
60,92037,8239,3151,2020-05-23
60,93747,4451,4435,2021-03-16
60,63685,2792,3991,2022-04-12
60,53727,1956,4710,2022-12-15
60,90411,4251,1390,2023-09-16
61,85787,3275,2356,2015-04-05
61,94441,9935,4816,2016-03-04
61,89529,4699,2379,2016-10-05
61,75245,3454,1939,2018-03-23
61,90992,9606,2566,2019-02-14
61,69145,8894,4369,2019-10-03
61,56004,6445,1494,2021-07-19
61,87938,3446,4465,2021-12-08
61,54406,8196,2980,2023-05-29
61,87277,5620,2712,2023-11-24
62,76921,2306,4516,2014-10-17
62,89095,4079,3286,2016-06-29
62,64744,3512,3189,2017-08-03
62,94019,5051,1821,2018-02-22
62,75944,7311,1424,2018-10-14
62,56718,2336,1122,2020-01-29
62,96202,5182,1468,2021-04-04
62,87595,2520,1108,2021-08-08
62,71914,2936,1166,2023-07-20
62,95120,537,3150,2023-09-09
63,55119,7900,1082,2015-05-01
63,71717,7894,2345,2016-02-19
63,51582,6323,2732,2016-08-10
63,65912,3879,1131,2018-02-24
63,63722,8013,3766,2019-06-13
63,79408,6690,1875,2019-11-02
63,69198,2998,2275,2021-06-18
63,51448,2774,3369,2022-01-17
63,55475,3821,1464,2023-01-01
63,83008,7495,1859,2023-08-09
64,61272,7138,4362,2015-04-13
64,80666,5635,4980,2016-07-13
64,81196,4085,1849,2016-09-15
64,69653,4142,4433,2018-04-17
64,91562,5789,1861,2018-12-17
64,55991,5654,2895,2020-03-21
64,86814,3179,1299,2021-01-25
64,62321,1115,4179,2021-11-24
64,79069,1005,4351,2022-09-01
64,97872,8094,1516,2024-03-10
65,70826,8503,3575,2015-08-06
65,56562,9304,4374,2015-11-13
65,58680,8154,4046,2017-02-15
65,99066,9098,1006,2018-07-06
65,60290,6982,1359,2019-04-02
65,94644,2844,1830,2019-11-12
65,75545,5424,2836,2020-09-05
65,58764,8436,3783,2022-06-27
65,59027,2345,4543,2023-02-20
65,85318,8457,3086,2023-11-05
66,69900,5448,4769,2015-03-15
66,52740,965,1680,2015-12-10
66,90997,9014,1612,2016-11-06
66,63328,7525,1663,2017-10-06
66,79530,2008,2013,2019-06-27
66,85129,2241,1058,2020-03-09
66,78182,3932,1249,2021-08-06
66,87472,4740,4683,2021-10-10
66,60587,5387,4182,2023-01-24
66,82510,8787,4317,2023-08-24
67,60410,2563,3927,2015-04-12
67,66731,1158,1475,2015-11-14
67,66421,6807,4961,2016-09-27
67,63825,2935,4644,2017-12-28
67,60166,7007,1625,2019-02-16
67,80613,3412,3961,2020-08-01
67,52095,1349,3197,2021-02-08
67,72941,8444,1119,2022-07-05
67,84795,9885,1849,2023-05-11
67,73633,1721,4778,2024-07-16
68,60361,8923,4895,2014-11-25
68,74877,6132,2434,2015-09-22
68,85786,4711,3536,2017-07-14
68,70102,7114,3400,2018-03-08
68,62456,4127,4690,2019-05-17
68,75876,5283,4900,2020-08-05
68,55813,9056,1533,2021-01-06
68,96454,6668,2199,2021-10-03
68,94442,550,1252,2023-02-20
68,76935,6384,2544,2024-07-20
69,50944,8712,2736,2014-08-20
69,50297,3922,2487,2015-08-15
69,60879,1381,4073,2017-04-21
69,87661,6631,2677,2017-08-28
69,94202,4996,1780,2018-09-05
69,89258,6140,1317,2020-07-07
69,51830,666,1582,2020-08-22
69,93596,4579,3726,2021-08-17
69,87806,7602,2927,2023-04-03
69,98071,1586,1377,2023-10-09
70,97144,2720,3630,2015-06-21
70,69226,9304,2742,2016-02-26
70,61720,4500,1860,2016-09-16
70,95944,6106,2359,2017-09-22
70,91902,7447,3220,2019-05-27
70,76938,291,1664,2020-02-13
70,63472,4129,3981,2021-04-01
70,74004,3116,1299,2022-07-22
70,64804,3401,1841,2023-07-05
70,76392,9314,4610,2024-06-02
71,93564,589,1546,2015-03-24
71,64881,1683,4953,2016-01-25
71,83702,9017,3833,2016-12-30
71,74943,6041,3128,2018-03-10
71,81534,894,3085,2018-11-03
71,79364,1800,2972,2019-11-11
71,94991,2640,1883,2020-09-13
71,60826,5144,4129,2022-01-24
71,90596,5245,4787,2023-06-20
71,95014,1239,2306,2023-10-09
72,50270,4769,1994,2014-09-09
72,75947,1105,2419,2015-11-03
72,92421,2735,1437,2016-09-08
72,56022,6521,2747,2018-03-18
72,68692,2510,4717,2019-05-29
72,83869,4909,4949,2020-07-29
72,84554,3575,2256,2021-03-17
72,53952,676,2282,2021-08-25
72,81977,3906,1412,2023-01-05
72,95761,1977,2238,2024-06-17
73,54252,9165,3587,2014-12-23
73,53861,3113,1924,2016-03-06
73,62218,1436,3498,2017-05-28
73,76495,3819,4478,2017-11-06
73,78208,3433,2373,2018-09-16
73,75970,4870,2661,2020-05-13
73,74451,8025,2426,2021-06-06
73,71623,7656,4017,2021-12-29
73,76691,5462,3502,2022-08-21
73,79080,9396,4009,2024-04-18
74,51012,3842,3014,2014-11-03
74,77369,2559,3215,2015-12-16
74,85517,698,3921,2016-09-29
74,79547,1293,1710,2017-09-04
74,92276,8045,2876,2019-03-02
74,79723,769,1799,2020-06-29
74,95217,7505,1548,2021-05-26
74,74474,1757,1671,2022-04-13
74,95332,4080,4488,2023-03-23
74,87961,1774,3550,2023-09-18
75,66483,6460,3446,2015-01-25
75,67815,580,1823,2015-10-08
75,77188,1694,2726,2017-07-24
75,53266,5011,4151,2017-12-29
75,59317,4651,3276,2018-12-12
75,87564,8393,2721,2020-06-30
75,53862,4898,2385,2021-05-12
75,92551,7769,4647,2022-01-10
75,67457,1936,3167,2023-02-21
75,92390,5099,3052,2024-05-09
76,60111,4831,2593,2015-03-14
76,67441,647,4571,2016-06-22
76,93058,6865,4962,2017-08-02
76,98270,7854,1380,2017-10-19
76,75928,2877,4571,2018-10-20
76,68871,7184,1939,2019-09-06
76,68334,4978,3036,2021-01-12
76,91127,5732,3049,2022-01-28
76,69790,1676,3640,2022-12-20
76,83074,7362,3324,2024-01-30
77,58904,4731,3724,2014-12-28
77,97218,1053,1827,2016-04-19
77,59732,5606,1751,2017-03-11
77,98512,5641,2289,2018-04-22
77,63635,2156,4271,2019-04-19
77,53566,8541,2067,2019-09-21
77,55403,7560,2623,2021-06-11
77,94686,3194,3946,2022-07-13
77,86360,4962,4293,2023-02-06
77,85012,2296,4793,2024-05-16
78,87614,3878,3711,2015-05-19
78,50538,9638,2640,2015-10-29
78,79520,5368,1749,2016-10-01
78,88117,6641,3568,2018-02-19
78,50421,7394,2451,2019-06-30
78,87682,1797,2308,2020-07-22
78,90853,5022,1908,2020-10-18
78,58172,4516,4454,2022-06-30
