employee_id,benefit_type,benefit_amount,start_date,end_date
5,Health Insurance,1543,2024-07-11,2025-07-11
6,Retirement Fund,4001,2015-02-16,2016-02-16
6,Health Insurance,1560,2016-01-23,2017-01-22
6,Retirement Fund,1087,2016-09-06,2017-09-06
6,Life Insurance,1304,2018-08-03,2019-08-03
6,Life Insurance,1562,2019-05-23,2020-05-22
6,Health Insurance,2879,2020-07-03,2021-07-03
6,Life Insurance,2695,2021-03-13,2022-03-13
6,Health Insurance,2093,2022-08-04,2023-08-04
6,Retirement Fund,4716,2022-10-13,2023-10-13
6,Retirement Fund,2802,2024-01-22,2025-01-21
7,Retirement Fund,2727,2015-01-03,2016-01-03
7,Retirement Fund,4207,2015-12-06,2016-12-05
7,Retirement Fund,3126,2016-08-21,2017-08-21
7,Health Insurance,4566,2018-03-05,2019-03-05
7,Life Insurance,4426,2018-11-01,2019-11-01
7,Life Insurance,4818,2020-03-07,2021-03-07
7,Retirement Fund,2254,2021-03-27,2022-03-27
7,Retirement Fund,2789,2022-03-26,2023-03-26
7,Retirement Fund,1974,2022-12-02,2023-12-02
7,Retirement Fund,2791,2023-11-03,2024-11-02
8,Health Insurance,4287,2015-06-24,2016-06-23
8,Health Insurance,2328,2015-11-23,2016-11-22
8,Retirement Fund,3616,2016-11-08,2017-11-08
8,Retirement Fund,4079,2018-01-16,2019-01-16
8,Health Insurance,2716,2018-12-10,2019-12-10
8,Life Insurance,4699,2020-01-16,2021-01-15
8,Retirement Fund,4139,2021-05-25,2022-05-25
8,Health Insurance,4512,2021-10-04,2022-10-04
8,Life Insurance,1970,2022-09-08,2023-09-08
8,Health Insurance,2006,2023-08-15,2024-08-14
9,Health Insurance,3847,2015-03-09,2016-03-08
9,Health Insurance,4511,2015-09-29,2016-09-28
9,Health Insurance,3053,2016-11-06,2017-11-06
9,Life Insurance,3203,2017-12-16,2018-12-16
9,Retirement Fund,3595,2019-04-13,2020-04-12
9,Life Insurance,1376,2020-06-14,2021-06-14
9,Retirement Fund,4792,2020-12-01,2021-12-01
9,Health Insurance,2759,2022-04-07,2023-04-07
9,Health Insurance,3760,2023-01-15,2024-01-15
9,Life Insurance,1451,2024-04-18,2025-04-18
10,Health Insurance,4323,2014-08-23,2015-08-23
10,Life Insurance,2042,2016-02-26,2017-02-25
10,Life Insurance,3208,2016-11-05,2017-11-05
10,Life Insurance,2826,2017-08-31,2018-08-31
10,Retirement Fund,2250,2018-11-16,2019-11-16
10,Life Insurance,4522,2020-07-13,2021-07-13
10,Life Insurance,2653,2021-04-12,2022-04-12
10,Life Insurance,1437,2021-11-16,2022-11-16
10,Health Insurance,2343,2022-08-25,2023-08-25
10,Retirement Fund,1447,2024-04-15,2025-04-15
11,Health Insurance,3702,2015-07-04,2016-07-03
11,Life Insurance,3703,2015-09-05,2016-09-04
11,Life Insurance,3622,2017-03-01,2018-03-01
11,Life Insurance,1970,2017-10-17,2018-10-17
11,Retirement Fund,2261,2019-07-11,2020-07-10
11,Life Insurance,3536,2019-11-24,2020-11-23
11,Health Insurance,2943,2020-10-27,2021-10-27
11,Retirement Fund,2638,2022-02-18,2023-02-18
11,Health Insurance,1635,2023-02-10,2024-02-10
11,Health Insurance,3797,2024-06-28,2025-06-28
12,Retirement Fund,4596,2014-10-08,2015-10-08
12,Health Insurance,3227,2015-10-22,2016-10-21
12,Retirement Fund,4047,2016-12-31,2017-12-31
12,Health Insurance,3484,2017-11-29,2018-11-29
12,Health Insurance,1248,2018-12-24,2019-12-24
12,Health Insurance,4174,2019-10-21,2020-10-20
12,Life Insurance,4809,2021-04-27,2022-04-27
12,Life Insurance,3146,2022-03-23,2023-03-23
12,Health Insurance,3431,2022-11-13,2023-11-13
12,Retirement Fund,1109,2024-04-19,2025-04-19
13,Retirement Fund,1602,2014-08-21,2015-08-21
13,Health Insurance,4516,2015-12-15,2016-12-14
13,Life Insurance,3337,2017-03-05,2018-03-05
13,Life Insurance,2469,2018-02-07,2019-02-07
13,Retirement Fund,2530,2018-10-01,2019-10-01
13,Health Insurance,4855,2020-01-18,2021-01-17
13,Health Insurance,2398,2021-07-04,2022-07-04
13,Life Insurance,4223,2022-01-05,2023-01-05
13,Life Insurance,4406,2023-04-30,2024-04-29
13,Life Insurance,2520,2023-10-18,2024-10-17
14,Life Insurance,2086,2015-08-01,2016-07-31
14,Health Insurance,4925,2016-01-06,2017-01-05
14,Retirement Fund,1123,2017-05-23,2018-05-23
14,Health Insurance,2928,2018-03-29,2019-03-29
14,Life Insurance,2316,2019-04-21,2020-04-20
14,Retirement Fund,3497,2019-11-29,2020-11-28
14,Health Insurance,4953,2021-04-07,2022-04-07
14,Life Insurance,4038,2021-08-11,2022-08-11
14,Retirement Fund,2703,2023-03-11,2024-03-10
14,Retirement Fund,4217,2023-11-30,2024-11-29
15,Health Insurance,4509,2014-11-17,2015-11-17
15,Health Insurance,4790,2016-08-05,2017-08-05
15,Health Insurance,4805,2017-07-29,2018-07-29
15,Health Insurance,1273,2017-09-25,2018-09-25
15,Life Insurance,3587,2018-12-02,2019-12-02
15,Life Insurance,4008,2020-06-07,2021-06-07
15,Health Insurance,3614,2021-08-05,2022-08-05
15,Life Insurance,3400,2022-06-17,2023-06-17
15,Retirement Fund,3547,2022-09-19,2023-09-19
15,Life Insurance,4544,2023-09-03,2024-09-02
16,Life Insurance,2634,2015-03-20,2016-03-19
16,Life Insurance,3023,2015-10-25,2016-10-24
16,Life Insurance,4824,2017-01-30,2018-01-30
16,Retirement Fund,3402,2018-03-26,2019-03-26
16,Life Insurance,1527,2019-01-28,2020-01-28
16,Retirement Fund,2118,2020-03-16,2021-03-16
16,Retirement Fund,3011,2021-06-04,2022-06-04
16,Retirement Fund,1510,2022-04-21,2023-04-21
16,Life Insurance,4754,2023-05-09,2024-05-08
16,Retirement Fund,2359,2023-12-19,2024-12-18
17,Retirement Fund,2086,2014-10-05,2015-10-05
17,Life Insurance,4879,2016-03-15,2017-03-15
17,Health Insurance,2553,2017-04-25,2018-04-25
17,Retirement Fund,2087,2017-11-27,2018-11-27
17,Retirement Fund,1274,2019-01-11,2020-01-11
17,Life Insurance,2585,2020-07-29,2021-07-29
17,Health Insurance,1305,2021-01-07,2022-01-07
17,Health Insurance,4486,2021-10-27,2022-10-27
17,Life Insurance,4387,2023-07-08,2024-07-07
17,Health Insurance,1479,2023-08-31,2024-08-30
18,Health Insurance,3212,2015-02-20,2016-02-20
18,Retirement Fund,2702,2015-08-23,2016-08-22
18,Retirement Fund,3210,2017-06-29,2018-06-29
18,Health Insurance,3445,2018-02-14,2019-02-14
18,Retirement Fund,1592,2018-11-07,2019-11-07
18,Health Insurance,3835,2020-07-17,2021-07-17
18,Life Insurance,4395,2021-07-15,2022-07-15
18,Retirement Fund,1763,2021-11-27,2022-11-27
18,Health Insurance,1963,2023-03-21,2024-03-20
18,Life Insurance,3733,2023-12-12,2024-12-11
19,Life Insurance,4106,2015-07-06,2016-07-05
19,Retirement Fund,3833,2015-12-01,2016-11-30
19,Retirement Fund,3926,2017-04-16,2018-04-16
19,Health Insurance,4273,2018-02-05,2019-02-05
19,Retirement Fund,3575,2019-02-25,2020-02-25
19,Life Insurance,2049,2020-05-08,2021-05-08
19,Health Insurance,3362,2020-12-18,2021-12-18
19,Health Insurance,4233,2021-11-14,2022-11-14
19,Health Insurance,2628,2023-07-21,2024-07-20
19,Life Insurance,3377,2024-02-21,2025-02-20
20,Health Insurance,1332,2015-02-09,2016-02-09
20,Life Insurance,4378,2015-09-15,2016-09-14
20,Health Insurance,3280,2017-04-13,2018-04-13
20,Health Insurance,2092,2018-06-21,2019-06-21
20,Life Insurance,1241,2018-12-11,2019-12-11
20,Health Insurance,2532,2020-01-15,2021-01-14
20,Retirement Fund,3004,2021-03-11,2022-03-11
20,Life Insurance,3504,2021-09-24,2022-09-24
20,Life Insurance,3990,2023-03-27,2024-03-26
20,Life Insurance,4978,2023-10-13,2024-10-12
21,Life Insurance,4178,2015-05-10,2016-05-09
21,Retirement Fund,3546,2016-04-19,2017-04-19
21,Retirement Fund,3730,2017-04-05,2018-04-05
21,Life Insurance,4638,2018-03-28,2019-03-28
21,Health Insurance,4311,2019-04-04,2020-04-03
21,Retirement Fund,2404,2020-01-28,2021-01-27
21,Retirement Fund,4176,2021-03-07,2022-03-07
21,Retirement Fund,2169,2021-12-22,2022-12-22
21,Health Insurance,3222,2023-01-14,2024-01-14
21,Life Insurance,2124,2024-04-26,2025-04-26
22,Health Insurance,1735,2015-03-25,2016-03-24
22,Life Insurance,4529,2016-07-08,2017-07-08
22,Life Insurance,4306,2016-11-14,2017-11-14
22,Retirement Fund,1157,2018-06-17,2019-06-17
22,Life Insurance,3021,2018-10-11,2019-10-11
22,Life Insurance,4783,2020-07-21,2021-07-21
22,Life Insurance,1636,2021-01-22,2022-01-22
22,Retirement Fund,2877,2022-05-06,2023-05-06
22,Retirement Fund,1479,2022-09-20,2023-09-20
22,Life Insurance,1786,2023-08-22,2024-08-21
23,Life Insurance,3264,2014-11-17,2015-11-17
23,Health Insurance,2966,2016-05-24,2017-05-24
23,Health Insurance,4032,2016-12-20,2017-12-20
23,Health Insurance,3815,2018-05-19,2019-05-19
23,Life Insurance,3702,2018-10-03,2019-10-03
23,Life Insurance,1801,2020-02-28,2021-02-27
23,Health Insurance,3585,2020-11-13,2021-11-13
23,Retirement Fund,1812,2021-11-17,2022-11-17
23,Retirement Fund,1971,2023-05-25,2024-05-24
23,Health Insurance,2955,2024-07-12,2025-07-12
24,Life Insurance,4380,2014-09-29,2015-09-29
24,Health Insurance,1405,2015-10-03,2016-10-02
24,Health Insurance,3128,2017-02-15,2018-02-15
24,Life Insurance,1121,2017-09-06,2018-09-06
24,Retirement Fund,2439,2019-03-09,2020-03-08
24,Retirement Fund,3712,2019-11-02,2020-11-01
24,Health Insurance,4865,2020-09-02,2021-09-02
24,Health Insurance,3532,2022-06-24,2023-06-24
24,Health Insurance,1206,2022-12-01,2023-12-01
24,Life Insurance,3424,2024-06-30,2025-06-30
25,Retirement Fund,3681,2014-10-15,2015-10-15
25,Retirement Fund,4650,2016-02-01,2017-01-31
25,Health Insurance,1774,2017-02-10,2018-02-10
25,Life Insurance,3900,2018-04-10,2019-04-10
25,Life Insurance,3761,2018-08-24,2019-08-24
25,Retirement Fund,1409,2020-02-17,2021-02-16
25,Health Insurance,4984,2020-08-19,2021-08-19
25,Retirement Fund,2209,2022-04-20,2023-04-20
25,Retirement Fund,2107,2023-02-06,2024-02-06
25,Health Insurance,4756,2024-04-12,2025-04-12
26,Life Insurance,1709,2014-11-25,2015-11-25
26,Retirement Fund,3112,2016-06-27,2017-06-27
26,Life Insurance,3800,2016-08-14,2017-08-14
26,Retirement Fund,1012,2018-06-22,2019-06-22
26,Health Insurance,1143,2018-08-16,2019-08-16
26,Life Insurance,2135,2020-08-06,2021-08-06
26,Health Insurance,1090,2021-02-05,2022-02-05
26,Life Insurance,3578,2022-04-17,2023-04-17
26,Health Insurance,2788,2023-03-02,2024-03-01
26,Health Insurance,4372,2023-11-01,2024-10-31
27,Life Insurance,2338,2015-05-22,2016-05-21
27,Life Insurance,3954,2016-02-28,2017-02-27
27,Retirement Fund,1226,2016-12-18,2017-12-18
27,Retirement Fund,4104,2018-01-30,2019-01-30
27,Health Insurance,3861,2019-04-30,2020-04-29
27,Retirement Fund,1584,2020-02-15,2021-02-14
27,Health Insurance,1757,2020-09-23,2021-09-23
27,Life Insurance,1066,2022-03-31,2023-03-31
27,Health Insurance,2050,2022-12-19,2023-12-19
27,Retirement Fund,4821,2024-05-22,2025-05-22
28,Retirement Fund,2106,2015-05-30,2016-05-29
28,Life Insurance,2738,2015-12-05,2016-12-04
28,Retirement Fund,3793,2017-05-29,2018-05-29
28,Retirement Fund,1593,2017-09-20,2018-09-20
28,Retirement Fund,3656,2019-06-13,2020-06-12
28,Health Insurance,4690,2019-12-29,2020-12-28
28,Health Insurance,3274,2021-01-29,2022-01-29
28,Life Insurance,4852,2022-02-10,2023-02-10
28,Health Insurance,1173,2023-01-06,2024-01-06
28,Life Insurance,2823,2024-02-19,2025-02-18
29,Health Insurance,3241,2014-11-16,2015-11-16
29,Health Insurance,2239,2016-02-03,2017-02-02
29,Health Insurance,4538,2017-03-05,2018-03-05
29,Health Insurance,4203,2017-08-15,2018-08-15
29,Life Insurance,2150,2019-07-31,2020-07-30
29,Retirement Fund,1554,2020-07-07,2021-07-07
29,Life Insurance,2483,2021-06-01,2022-06-01
29,Life Insurance,1240,2022-06-16,2023-06-16
29,Health Insurance,3652,2022-12-09,2023-12-09
29,Life Insurance,3492,2023-10-26,2024-10-25
30,Retirement Fund,1243,2015-04-30,2016-04-29
30,Life Insurance,1156,2016-07-16,2017-07-16
30,Health Insurance,3429,2017-06-30,2018-06-30
30,Health Insurance,4110,2018-01-06,2019-01-06
30,Retirement Fund,3888,2018-12-28,2019-12-28
30,Life Insurance,2856,2020-05-10,2021-05-10
30,Retirement Fund,3285,2021-01-28,2022-01-28
30,Retirement Fund,1578,2022-01-04,2023-01-04
30,Life Insurance,4535,2023-08-03,2024-08-02
30,Health Insurance,1657,2024-07-12,2025-07-12
31,Health Insurance,2487,2014-10-04,2015-10-04
31,Retirement Fund,1902,2016-01-08,2017-01-07
31,Health Insurance,4284,2017-06-08,2018-06-08
31,Health Insurance,4202,2018-07-02,2019-07-02
31,Health Insurance,1399,2018-11-19,2019-11-19
31,Retirement Fund,3766,2020-07-16,2021-07-16
31,Life Insurance,3942,2020-11-23,2021-11-23
31,Retirement Fund,2782,2022-06-11,2023-06-11
31,Health Insurance,4593,2023-06-05,2024-06-04
31,Health Insurance,2925,2023-10-15,2024-10-14
32,Retirement Fund,4501,2015-02-24,2016-02-24
32,Health Insurance,2338,2016-02-29,2017-02-28
32,Retirement Fund,3187,2016-12-14,2017-12-14
32,Retirement Fund,4116,2018-07-01,2019-07-01
32,Life Insurance,3801,2019-05-31,2020-05-30
32,Life Insurance,3210,2019-09-22,2020-09-21
32,Retirement Fund,2801,2020-09-06,2021-09-06
32,Health Insurance,1239,2022-02-23,2023-02-23
32,Retirement Fund,3855,2023-04-12,2024-04-11
32,Retirement Fund,3057,2024-03-31,2025-03-31
33,Retirement Fund,1582,2015-03-11,2016-03-10
33,Retirement Fund,2963,2015-11-28,2016-11-27
33,Life Insurance,1596,2017-01-25,2018-01-25
33,Retirement Fund,4110,2018-03-19,2019-03-19
33,Retirement Fund,4026,2018-11-24,2019-11-24
33,Health Insurance,1451,2019-10-06,2020-10-05
33,Life Insurance,2931,2021-02-18,2022-02-18
33,Retirement Fund,3017,2022-02-19,2023-02-19
33,Health Insurance,4532,2022-12-18,2023-12-18
33,Retirement Fund,3546,2023-09-23,2024-09-22
34,Life Insurance,1469,2015-04-20,2016-04-19
34,Retirement Fund,3752,2016-06-07,2017-06-07
34,Retirement Fund,3316,2017-07-16,2018-07-16
34,Life Insurance,2615,2018-07-20,2019-07-20
34,Life Insurance,4892,2019-07-26,2020-07-25
34,Retirement Fund,1191,2020-01-05,2021-01-04
34,Retirement Fund,1034,2020-11-25,2021-11-25
34,Retirement Fund,4661,2022-05-20,2023-05-20
34,Retirement Fund,4858,2022-11-01,2023-11-01
34,Health Insurance,4979,2024-07-22,2025-07-22
35,Health Insurance,1378,2014-10-29,2015-10-29
35,Retirement Fund,1763,2016-03-01,2017-03-01
35,Retirement Fund,4683,2017-04-11,2018-04-11
35,Health Insurance,2058,2018-05-06,2019-05-06
35,Life Insurance,2918,2018-09-08,2019-09-08
35,Retirement Fund,1067,2020-03-05,2021-03-05
35,Life Insurance,4669,2021-01-18,2022-01-18
35,Life Insurance,3897,2022-03-27,2023-03-27
35,Health Insurance,2263,2023-02-03,2024-02-03
35,Retirement Fund,1334,2023-11-11,2024-11-10
36,Life Insurance,3730,2015-01-17,2016-01-17
36,Retirement Fund,3843,2016-04-04,2017-04-04
36,Retirement Fund,2943,2016-09-05,2017-09-05
36,Retirement Fund,2307,2018-04-18,2019-04-18
36,Retirement Fund,4623,2018-12-27,2019-12-27
36,Health Insurance,4465,2020-03-08,2021-03-08
36,Retirement Fund,3543,2020-09-27,2021-09-27
36,Retirement Fund,3649,2022-05-02,2023-05-02
36,Retirement Fund,4870,2023-06-29,2024-06-28
36,Health Insurance,3517,2024-04-13,2025-04-13
37,Retirement Fund,4849,2015-05-14,2016-05-13
37,Health Insurance,1143,2015-12-27,2016-12-26
37,Retirement Fund,1338,2016-12-27,2017-12-27
37,Health Insurance,2689,2018-07-27,2019-07-27
37,Retirement Fund,4447,2018-12-28,2019-12-28
37,Health Insurance,3853,2020-01-08,2021-01-07
37,Retirement Fund,1669,2021-03-31,2022-03-31
37,Life Insurance,1447,2021-08-31,2022-08-31
37,Retirement Fund,4148,2023-06-28,2024-06-27
37,Health Insurance,4918,2023-11-17,2024-11-16
38,Health Insurance,1704,2015-05-28,2016-05-27
38,Retirement Fund,4842,2015-10-02,2016-10-01
38,Health Insurance,3931,2017-01-31,2018-01-31
38,Health Insurance,1403,2017-11-28,2018-11-28
38,Life Insurance,4660,2018-08-12,2019-08-12
38,Health Insurance,1819,2020-08-01,2021-08-01
38,Health Insurance,2144,2021-05-04,2022-05-04
38,Life Insurance,4038,2021-11-04,2022-11-04
38,Life Insurance,3699,2023-04-11,2024-04-10
38,Retirement Fund,3826,2024-04-14,2025-04-14
39,Health Insurance,2382,2015-07-05,2016-07-04
39,Life Insurance,4560,2016-03-17,2017-03-17
39,Retirement Fund,1695,2017-07-13,2018-07-13
39,Health Insurance,1236,2017-09-30,2018-09-30
39,Life Insurance,3842,2019-04-20,2020-04-19
39,Health Insurance,4667,2020-05-11,2021-05-11
39,Life Insurance,4325,2021-02-03,2022-02-03
39,Life Insurance,2545,2022-06-22,2023-06-22
39,Life Insurance,4157,2022-10-14,2023-10-14
39,Life Insurance,3293,2024-05-10,2025-05-10
40,Health Insurance,3451,2014-11-01,2015-11-01
40,Retirement Fund,1614,2016-04-16,2017-04-16
40,Life Insurance,2405,2017-07-15,2018-07-15
40,Life Insurance,2475,2017-12-02,2018-12-02
40,Life Insurance,4063,2019-03-08,2020-03-07
40,Retirement Fund,1484,2020-03-13,2021-03-13
40,Health Insurance,1839,2021-07-30,2022-07-30
40,Retirement Fund,4122,2022-03-14,2023-03-14
40,Retirement Fund,3423,2023-01-17,2024-01-17
40,Health Insurance,1174,2023-09-17,2024-09-16
41,Health Insurance,4174,2015-06-04,2016-06-03
41,Health Insurance,2591,2016-05-24,2017-05-24
41,Retirement Fund,2713,2016-09-13,2017-09-13
41,Health Insurance,4773,2018-03-06,2019-03-06
41,Health Insurance,3737,2019-07-03,2020-07-02
41,Life Insurance,2579,2020-05-09,2021-05-09
41,Retirement Fund,4010,2021-06-17,2022-06-17
41,Life Insurance,4582,2022-06-05,2023-06-05
41,Life Insurance,2117,2023-04-18,2024-04-17
41,Health Insurance,3606,2024-08-05,2025-08-05
42,Life Insurance,1830,2015-01-27,2016-01-27
42,Health Insurance,4667,2016-03-05,2017-03-05
42,Health Insurance,4189,2017-06-22,2018-06-22
42,Health Insurance,1769,2018-06-30,2019-06-30
42,Life Insurance,3418,2019-06-30,2020-06-29
42,Health Insurance,1189,2020-01-14,2021-01-13
42,Health Insurance,1000,2021-07-10,2022-07-10
42,Life Insurance,1089,2022-02-07,2023-02-07
42,Health Insurance,2341,2022-11-13,2023-11-13
42,Health Insurance,1874,2024-01-30,2025-01-29
43,Life Insurance,3608,2015-06-15,2016-06-14
43,Health Insurance,3240,2016-07-11,2017-07-11
43,Retirement Fund,3855,2016-10-19,2017-10-19
43,Life Insurance,4658,2018-05-15,2019-05-15
43,Health Insurance,4977,2019-03-28,2020-03-27
43,Health Insurance,2525,2019-09-26,2020-09-25
43,Life Insurance,2022,2020-12-24,2021-12-24
43,Life Insurance,1225,2022-04-20,2023-04-20
43,Life Insurance,2241,2022-08-21,2023-08-21
43,Health Insurance,4800,2024-05-07,2025-05-07
44,Health Insurance,4701,2014-09-22,2015-09-22
44,Retirement Fund,2249,2016-05-15,2017-05-15
44,Retirement Fund,2291,2017-04-01,2018-04-01
44,Retirement Fund,2133,2017-09-03,2018-09-03
44,Retirement Fund,3104,2019-02-24,2020-02-24
44,Retirement Fund,1778,2020-01-07,2021-01-06
44,Life Insurance,2160,2020-12-11,2021-12-11
44,Retirement Fund,3515,2022-07-30,2023-07-30
44,Life Insurance,3305,2023-07-16,2024-07-15
44,Health Insurance,2038,2023-10-18,2024-10-17
45,Retirement Fund,2841,2015-04-25,2016-04-24
45,Health Insurance,4820,2016-01-02,2017-01-01
45,Health Insurance,4875,2016-09-16,2017-09-16
45,Retirement Fund,4882,2018-02-24,2019-02-24
45,Life Insurance,4617,2018-08-11,2019-08-11
45,Health Insurance,1616,2019-11-25,2020-11-24
45,Life Insurance,3414,2021-06-25,2022-06-25
45,Life Insurance,3582,2022-07-14,2023-07-14
45,Health Insurance,1586,2022-12-20,2023-12-20
45,Life Insurance,1752,2023-10-13,2024-10-12
46,Health Insurance,3879,2014-10-16,2015-10-16
46,Retirement Fund,1064,2016-07-27,2017-07-27
46,Health Insurance,4676,2016-08-22,2017-08-22
46,Health Insurance,4271,2017-09-15,2018-09-15
46,Retirement Fund,1394,2019-01-07,2020-01-07
46,Retirement Fund,3260,2020-04-20,2021-04-20
46,Life Insurance,2993,2021-05-13,2022-05-13
46,Life Insurance,2816,2021-08-13,2022-08-13
46,Health Insurance,3731,2022-12-10,2023-12-10
46,Retirement Fund,1719,2024-06-25,2025-06-25
47,Life Insurance,4467,2015-06-15,2016-06-14
47,Retirement Fund,1662,2016-03-25,2017-03-25
47,Retirement Fund,1950,2016-08-16,2017-08-16
47,Health Insurance,1625,2017-10-04,2018-10-04
47,Life Insurance,4202,2018-10-18,2019-10-18
47,Retirement Fund,1607,2020-07-14,2021-07-14
47,Life Insurance,1911,2020-12-01,2021-12-01
47,Retirement Fund,1248,2022-05-06,2023-05-06
47,Health Insurance,4677,2022-10-08,2023-10-08
47,Health Insurance,2058,2023-11-23,2024-11-22
48,Life Insurance,3840,2015-02-15,2016-02-15
48,Retirement Fund,3059,2016-06-23,2017-06-23
48,Health Insurance,3160,2017-02-28,2018-02-28
48,Life Insurance,3496,2018-07-23,2019-07-23
48,Retirement Fund,4132,2018-11-21,2019-11-21
48,Health Insurance,3654,2020-03-31,2021-03-31
48,Retirement Fund,4995,2020-10-01,2021-10-01
48,Life Insurance,1503,2021-09-18,2022-09-18
48,Retirement Fund,2086,2022-09-05,2023-09-05
48,Life Insurance,2928,2024-05-22,2025-05-22
49,Retirement Fund,4280,2015-02-18,2016-02-18
49,Health Insurance,2303,2016-06-06,2017-06-06
49,Retirement Fund,4248,2017-06-16,2018-06-16
49,Retirement Fund,2249,2017-12-11,2018-12-11
49,Retirement Fund,4691,2019-06-12,2020-06-11
49,Retirement Fund,4091,2020-05-20,2021-05-20
49,Life Insurance,2778,2020-12-28,2021-12-28
49,Health Insurance,4775,2022-05-09,2023-05-09
49,Life Insurance,2064,2023-05-21,2024-05-20
49,Retirement Fund,4193,2024-07-03,2025-07-03
50,Retirement Fund,2666,2015-02-07,2016-02-07
50,Retirement Fund,4789,2015-08-26,2016-08-25
50,Health Insurance,3681,2017-05-09,2018-05-09
50,Health Insurance,2294,2017-09-23,2018-09-23
50,Retirement Fund,4547,2018-11-16,2019-11-16
50,Retirement Fund,4839,2019-11-04,2020-11-03
50,Life Insurance,2873,2021-05-14,2022-05-14
50,Life Insurance,1417,2022-07-11,2023-07-11
50,Life Insurance,1972,2023-02-03,2024-02-03
50,Health Insurance,3634,2024-04-23,2025-04-23
51,Retirement Fund,2919,2014-09-10,2015-09-10
51,Life Insurance,3820,2016-03-29,2017-03-29
51,Health Insurance,1471,2016-08-13,2017-08-13
51,Retirement Fund,4962,2017-10-24,2018-10-24
51,Health Insurance,2675,2019-02-05,2020-02-05
51,Retirement Fund,4511,2019-08-10,2020-08-09
51,Retirement Fund,3944,2021-02-06,2022-02-06
51,Retirement Fund,3551,2021-12-21,2022-12-21
51,Retirement Fund,4441,2023-06-28,2024-06-27
51,Retirement Fund,1984,2024-02-06,2025-02-05
52,Retirement Fund,2496,2014-09-13,2015-09-13
52,Retirement Fund,1420,2015-08-14,2016-08-13
52,Retirement Fund,3437,2017-08-01,2018-08-01
52,Retirement Fund,3466,2017-09-25,2018-09-25
52,Life Insurance,4336,2019-02-27,2020-02-27
52,Retirement Fund,3494,2020-03-18,2021-03-18
52,Life Insurance,1519,2020-08-31,2021-08-31
52,Retirement Fund,4060,2022-02-06,2023-02-06
52,Retirement Fund,3461,2023-05-08,2024-05-07
52,Life Insurance,2105,2023-10-27,2024-10-26
53,Life Insurance,1067,2015-05-09,2016-05-08
53,Retirement Fund,3748,2016-01-30,2017-01-29
53,Retirement Fund,3476,2016-08-22,2017-08-22
53,Retirement Fund,1362,2018-07-09,2019-07-09
53,Health Insurance,1216,2019-04-08,2020-04-07
53,Retirement Fund,3987,2020-03-19,2021-03-19
53,Retirement Fund,3985,2021-04-20,2022-04-20
53,Life Insurance,1587,2022-05-15,2023-05-15
53,Retirement Fund,1729,2023-05-20,2024-05-19
